,counts,temp,treatment,inf
0,46,26,coevolved,inf
1,40,26,coevolved,inf
2,90,26,coevolved,inf
3,66,26,coevolved,inf
4,46,26,coevolved,inf
5,62,26,coevolved,inf
6,26,26,coevolved,inf
7,46,26,coevolved,inf
8,82,26,coevolved,inf
9,58,26,coevolved,inf
10,40,26,coevolved,inf
11,102,26,coevolved,inf
12,42,26,coevolved,inf
13,38,26,coevolved,inf
14,106,26,coevolved,inf
15,50,26,coevolved,inf
16,70,26,coevolved,inf
17,34,26,coevolved,inf
18,56,26,coevolved,inf
19,60,26,coevolved,inf
20,36,26,coevolved,inf
21,70,26,coevolved,inf
22,58,26,coevolved,inf
23,24,26,coevolved,inf
24,72,26,coevolved,inf
25,58,26,coevolved,inf
26,30,26,coevolved,inf
27,74,26,coevolved,inf
28,54,26,coevolved,inf
29,36,26,coevolved,inf
30,80,26,coevolved,inf
31,54,26,coevolved,inf
32,26,26,coevolved,inf
33,46,26,coevolved,inf
34,52,26,coevolved,inf
35,40,26,coevolved,inf
36,40,26,coevolved,inf
37,58,26,coevolved,inf
38,46,26,coevolved,inf
39,50,26,coevolved,inf
40,52,26,coevolved,inf
41,30,26,coevolved,inf
42,50,26,coevolved,inf
43,72,26,coevolved,inf
44,42,26,coevolved,inf
45,46,26,coevolved,inf
46,68,26,coevolved,inf
47,24,26,coevolved,inf
48,32,26,coevolved,inf
0,11,26,control,inf
1,20,26,control,inf
2,6,26,control,inf
3,16,26,control,inf
4,13,26,control,inf
5,18,26,control,inf
6,17,26,control,inf
7,20,26,control,inf
8,6,26,control,inf
9,11,26,control,inf
10,21,26,control,inf
11,28,26,control,inf
12,19,26,control,inf
13,1,26,control,inf
14,21,26,control,inf
15,15,26,control,inf
16,1,26,control,inf
17,18,26,control,inf
18,19,26,control,inf
19,10,26,control,inf
20,6,26,control,inf
21,20,26,control,inf
22,6,26,control,inf
23,13,26,control,inf
24,14,26,control,inf
25,15,26,control,inf
26,13,26,control,inf
27,62,26,control,inf
28,50,26,control,inf
29,44,26,control,inf
30,22,26,control,inf
31,58,26,control,inf
32,34,26,control,inf
33,52,26,control,inf
34,44,26,control,inf
35,30,26,control,inf
36,62,26,control,inf
37,18,26,control,inf
38,15,26,control,inf
39,24,26,control,inf
40,39,26,control,inf
41,27,26,control,inf
42,0,26,control,inf
43,0,26,control,inf
44,0,26,control,inf
0,8,26,control,uninf
1,4,26,control,uninf
2,1,26,control,uninf
3,6,26,control,uninf
4,12,26,control,uninf
5,14,26,control,uninf
6,14,26,control,uninf
7,9,26,control,uninf
8,21,26,control,uninf
9,10,26,control,uninf
10,1,26,control,uninf
11,2,26,control,uninf
12,3,26,control,uninf
13,12,26,control,uninf
14,3,26,control,uninf
15,11,26,control,uninf
16,7,26,control,uninf
17,19,26,control,uninf
18,6,26,control,uninf
19,8,26,control,uninf
20,3,26,control,uninf
21,7,26,control,uninf
22,13,26,control,uninf
23,22,26,control,uninf
24,21,26,control,uninf
25,20,26,control,uninf
26,24,26,control,uninf
27,11,26,control,uninf
28,19,26,control,uninf
29,16,26,control,uninf
30,25,26,control,uninf
31,17,26,control,uninf
32,28,26,control,uninf
33,12,26,control,uninf
34,8,26,control,uninf
35,15,26,control,uninf
36,8,26,control,uninf
37,15,26,control,uninf
38,16,26,control,uninf
39,16,26,control,uninf
40,10,26,control,uninf
41,11,26,control,uninf
42,14,26,control,uninf
43,0,26,control,uninf
0,38,31,coevolved,inf
1,9,31,coevolved,inf
2,110,31,coevolved,inf
3,12,31,coevolved,inf
4,92,31,coevolved,inf
5,15,31,coevolved,inf
6,40,31,coevolved,inf
7,18,31,coevolved,inf
8,40,31,coevolved,inf
9,15,31,coevolved,inf
10,42,31,coevolved,inf
11,42,31,coevolved,inf
12,40,31,coevolved,inf
13,12,31,coevolved,inf
14,44,31,coevolved,inf
15,3,31,coevolved,inf
16,50,31,coevolved,inf
17,12,31,coevolved,inf
18,28,31,coevolved,inf
19,18,31,coevolved,inf
20,34,31,coevolved,inf
21,30,31,coevolved,inf
22,24,31,coevolved,inf
23,48,31,coevolved,inf
24,28,31,coevolved,inf
25,30,31,coevolved,inf
26,30,31,coevolved,inf
27,33,31,coevolved,inf
28,38,31,coevolved,inf
29,38,31,coevolved,inf
30,56,31,coevolved,inf
31,40,31,coevolved,inf
32,36,31,coevolved,inf
33,34,31,coevolved,inf
34,16,31,coevolved,inf
35,28,31,coevolved,inf
36,32,31,coevolved,inf
37,18,31,coevolved,inf
38,44,31,coevolved,inf
39,54,31,coevolved,inf
40,48,31,coevolved,inf
41,60,31,coevolved,inf
42,66,31,coevolved,inf
43,0,31,coevolved,inf
44,0,31,coevolved,inf
0,2,31,control,inf
1,12,31,control,inf
2,9,31,control,inf
3,2,31,control,inf
4,8,31,control,inf
5,2,31,control,inf
6,2,31,control,inf
7,3,31,control,inf
8,8,31,control,inf
9,6,31,control,inf
10,9,31,control,inf
11,6,31,control,inf
12,6,31,control,inf
13,10,31,control,inf
14,9,31,control,inf
15,2,31,control,inf
16,10,31,control,inf
17,3,31,control,inf
18,2,31,control,inf
19,8,31,control,inf
20,12,31,control,inf
21,4,31,control,inf
22,10,31,control,inf
23,18,31,control,inf
24,2,31,control,inf
25,22,31,control,inf
26,6,31,control,inf
27,18,31,control,inf
28,2,31,control,inf
29,18,31,control,inf
30,2,31,control,inf
31,27,31,control,inf
32,4,31,control,inf
33,3,31,control,inf
34,2,31,control,inf
35,21,31,control,inf
36,0,31,control,inf
37,0,31,control,inf
38,0,31,control,inf
39,0,31,control,inf
0,6,31,control,uninf
1,68,31,control,uninf
2,9,31,control,uninf
3,10,31,control,uninf
4,46,31,control,uninf
5,12,31,control,uninf
6,20,31,control,uninf
7,32,31,control,uninf
8,21,31,control,uninf
9,34,31,control,uninf
10,12,31,control,uninf
11,4,31,control,uninf
12,44,31,control,uninf
13,12,31,control,uninf
14,8,31,control,uninf
15,40,31,control,uninf
16,6,31,control,uninf
17,8,31,control,uninf
18,28,31,control,uninf
19,6,31,control,uninf
20,4,31,control,uninf
21,30,31,control,uninf
22,12,31,control,uninf
23,14,31,control,uninf
24,18,31,control,uninf
25,8,31,control,uninf
26,26,31,control,uninf
27,3,31,control,uninf
28,10,31,control,uninf
29,26,31,control,uninf
30,9,31,control,uninf
31,20,31,control,uninf
32,16,31,control,uninf
33,9,31,control,uninf
34,14,31,control,uninf
35,24,31,control,uninf
36,6,31,control,uninf
37,10,31,control,uninf
38,22,31,control,uninf
39,12,31,control,uninf
40,14,31,control,uninf
41,14,31,control,uninf
42,21,31,control,uninf
43,0,31,control,uninf
44,0,31,control,uninf
